,mae_name,C,gamma,tol,eps,mae
0,SVR_0.005_1e-05_1e-07_1e-05,0.005,1e-05,1e-07,1e-05,197.86764929002143
1,SVR_0.005_1e-05_1e-07_2e-05,0.005,1e-05,1e-07,2e-05,197.86764929002143
2,SVR_0.005_1e-05_1e-07_4e-05,0.005,1e-05,1e-07,4e-05,197.86764929002143
3,SVR_0.005_1e-05_1e-07_8e-05,0.005,1e-05,1e-07,8e-05,197.86764929002143
4,SVR_0.005_1e-05_1e-07_0.00016,0.005,1e-05,1e-07,0.00016,197.86764929002143
5,SVR_0.005_1e-05_1e-07_0.00032,0.005,1e-05,1e-07,0.00032,197.86764929002143
6,SVR_0.005_1e-05_1e-07_0.00064,0.005,1e-05,1e-07,0.00064,197.86764933961211
7,SVR_0.005_1e-05_1e-07_0.00128,0.005,1e-05,1e-07,0.00128,197.86764953235755
8,SVR_0.005_1e-05_1e-07_0.00256,0.005,1e-05,1e-07,0.00256,197.86764985911685
9,SVR_0.005_1e-05_1e-07_0.00512,0.005,1e-05,1e-07,0.00512,201.86765177362662
10,SVR_0.005_1e-05_2e-07_1e-05,0.005,1e-05,2e-07,1e-05,197.86764929002143
11,SVR_0.005_1e-05_2e-07_2e-05,0.005,1e-05,2e-07,2e-05,197.86764929002143
12,SVR_0.005_1e-05_2e-07_4e-05,0.005,1e-05,2e-07,4e-05,197.86764929002143
13,SVR_0.005_1e-05_2e-07_8e-05,0.005,1e-05,2e-07,8e-05,197.86764929002143
14,SVR_0.005_1e-05_2e-07_0.00016,0.005,1e-05,2e-07,0.00016,197.86764929002143
15,SVR_0.005_1e-05_2e-07_0.00032,0.005,1e-05,2e-07,0.00032,197.86764929002143
16,SVR_0.005_1e-05_2e-07_0.00064,0.005,1e-05,2e-07,0.00064,197.86764933961211
17,SVR_0.005_1e-05_2e-07_0.00128,0.005,1e-05,2e-07,0.00128,197.86764953235755
18,SVR_0.005_1e-05_2e-07_0.00256,0.005,1e-05,2e-07,0.00256,197.86764985911685
19,SVR_0.005_1e-05_2e-07_0.00512,0.005,1e-05,2e-07,0.00512,201.86765177362662
20,SVR_0.005_1e-05_4e-07_1e-05,0.005,1e-05,4e-07,1e-05,197.86764929002143
21,SVR_0.005_1e-05_4e-07_2e-05,0.005,1e-05,4e-07,2e-05,197.86764929002143
22,SVR_0.005_1e-05_4e-07_4e-05,0.005,1e-05,4e-07,4e-05,197.86764929002143
23,SVR_0.005_1e-05_4e-07_8e-05,0.005,1e-05,4e-07,8e-05,197.86764929002143
24,SVR_0.005_1e-05_4e-07_0.00016,0.005,1e-05,4e-07,0.00016,197.86764929002143
25,SVR_0.005_1e-05_4e-07_0.00032,0.005,1e-05,4e-07,0.00032,197.86764929002143
26,SVR_0.005_1e-05_4e-07_0.00064,0.005,1e-05,4e-07,0.00064,197.86764933961211
27,SVR_0.005_1e-05_4e-07_0.00128,0.005,1e-05,4e-07,0.00128,197.86764953235755
28,SVR_0.005_1e-05_4e-07_0.00256,0.005,1e-05,4e-07,0.00256,197.86764985911685
29,SVR_0.005_1e-05_4e-07_0.00512,0.005,1e-05,4e-07,0.00512,201.86765177362662
30,SVR_0.005_1e-05_8e-07_1e-05,0.005,1e-05,8e-07,1e-05,197.86764929002143
31,SVR_0.005_1e-05_8e-07_2e-05,0.005,1e-05,8e-07,2e-05,197.86764929002143
32,SVR_0.005_1e-05_8e-07_4e-05,0.005,1e-05,8e-07,4e-05,197.86764929002143
33,SVR_0.005_1e-05_8e-07_8e-05,0.005,1e-05,8e-07,8e-05,197.86764929002143
34,SVR_0.005_1e-05_8e-07_0.00016,0.005,1e-05,8e-07,0.00016,197.86764929002143
35,SVR_0.005_1e-05_8e-07_0.00032,0.005,1e-05,8e-07,0.00032,197.86764929002143
36,SVR_0.005_1e-05_8e-07_0.00064,0.005,1e-05,8e-07,0.00064,197.86764933961211
37,SVR_0.005_1e-05_8e-07_0.00128,0.005,1e-05,8e-07,0.00128,197.86764953235755
38,SVR_0.005_1e-05_8e-07_0.00256,0.005,1e-05,8e-07,0.00256,197.86764985911685
39,SVR_0.005_1e-05_8e-07_0.00512,0.005,1e-05,8e-07,0.00512,201.86765177362662
40,SVR_0.005_1e-05_1.6e-06_1e-05,0.005,1e-05,1.6e-06,1e-05,197.86764929002143
41,SVR_0.005_1e-05_1.6e-06_2e-05,0.005,1e-05,1.6e-06,2e-05,197.86764929002143
42,SVR_0.005_1e-05_1.6e-06_4e-05,0.005,1e-05,1.6e-06,4e-05,197.86764929002143
43,SVR_0.005_1e-05_1.6e-06_8e-05,0.005,1e-05,1.6e-06,8e-05,197.86764929002143
44,SVR_0.005_1e-05_1.6e-06_0.00016,0.005,1e-05,1.6e-06,0.00016,197.86764929002143
45,SVR_0.005_1e-05_1.6e-06_0.00032,0.005,1e-05,1.6e-06,0.00032,197.86764929002143
46,SVR_0.005_1e-05_1.6e-06_0.00064,0.005,1e-05,1.6e-06,0.00064,197.86764933961211
47,SVR_0.005_1e-05_1.6e-06_0.00128,0.005,1e-05,1.6e-06,0.00128,197.86764953235755
48,SVR_0.005_1e-05_1.6e-06_0.00256,0.005,1e-05,1.6e-06,0.00256,197.86764985911685
49,SVR_0.005_1e-05_1.6e-06_0.00512,0.005,1e-05,1.6e-06,0.00512,201.86765177362662
50,SVR_0.005_1e-05_3.2e-06_1e-05,0.005,1e-05,3.2e-06,1e-05,197.86764929002143
51,SVR_0.005_1e-05_3.2e-06_2e-05,0.005,1e-05,3.2e-06,2e-05,197.86764929002143
52,SVR_0.005_1e-05_3.2e-06_4e-05,0.005,1e-05,3.2e-06,4e-05,197.86764929002143
53,SVR_0.005_1e-05_3.2e-06_8e-05,0.005,1e-05,3.2e-06,8e-05,197.86764929002143
54,SVR_0.005_1e-05_3.2e-06_0.00016,0.005,1e-05,3.2e-06,0.00016,197.86764929002143
55,SVR_0.005_1e-05_3.2e-06_0.00032,0.005,1e-05,3.2e-06,0.00032,197.86764929002143
56,SVR_0.005_1e-05_3.2e-06_0.00064,0.005,1e-05,3.2e-06,0.00064,197.86764933961211
57,SVR_0.005_1e-05_3.2e-06_0.00128,0.005,1e-05,3.2e-06,0.00128,197.86764953235755
58,SVR_0.005_1e-05_3.2e-06_0.00256,0.005,1e-05,3.2e-06,0.00256,197.86764985911685
59,SVR_0.005_1e-05_3.2e-06_0.00512,0.005,1e-05,3.2e-06,0.00512,201.86765177362662
60,SVR_0.005_1e-05_6.4e-06_1e-05,0.005,1e-05,6.4e-06,1e-05,197.86764929002143
61,SVR_0.005_1e-05_6.4e-06_2e-05,0.005,1e-05,6.4e-06,2e-05,197.86764929002143
62,SVR_0.005_1e-05_6.4e-06_4e-05,0.005,1e-05,6.4e-06,4e-05,197.86764929002143
63,SVR_0.005_1e-05_6.4e-06_8e-05,0.005,1e-05,6.4e-06,8e-05,197.86764929002143
64,SVR_0.005_1e-05_6.4e-06_0.00016,0.005,1e-05,6.4e-06,0.00016,197.86764929002143
65,SVR_0.005_1e-05_6.4e-06_0.00032,0.005,1e-05,6.4e-06,0.00032,197.86764929002143
66,SVR_0.005_1e-05_6.4e-06_0.00064,0.005,1e-05,6.4e-06,0.00064,197.86764933961211
67,SVR_0.005_1e-05_6.4e-06_0.00128,0.005,1e-05,6.4e-06,0.00128,197.86764953235755
68,SVR_0.005_1e-05_6.4e-06_0.00256,0.005,1e-05,6.4e-06,0.00256,197.86764985911685
69,SVR_0.005_1e-05_6.4e-06_0.00512,0.005,1e-05,6.4e-06,0.00512,201.86765177362662
70,SVR_0.005_1e-05_1.28e-05_1e-05,0.005,1e-05,1.28e-05,1e-05,197.86764929002143
71,SVR_0.005_1e-05_1.28e-05_2e-05,0.005,1e-05,1.28e-05,2e-05,197.86764929002143
72,SVR_0.005_1e-05_1.28e-05_4e-05,0.005,1e-05,1.28e-05,4e-05,197.86764929002143
73,SVR_0.005_1e-05_1.28e-05_8e-05,0.005,1e-05,1.28e-05,8e-05,197.86764929002143
74,SVR_0.005_1e-05_1.28e-05_0.00016,0.005,1e-05,1.28e-05,0.00016,197.86764929002143
75,SVR_0.005_1e-05_1.28e-05_0.00032,0.005,1e-05,1.28e-05,0.00032,197.86764929002143
76,SVR_0.005_1e-05_1.28e-05_0.00064,0.005,1e-05,1.28e-05,0.00064,197.86764933961211
77,SVR_0.005_1e-05_1.28e-05_0.00128,0.005,1e-05,1.28e-05,0.00128,197.86764953235755
78,SVR_0.005_1e-05_1.28e-05_0.00256,0.005,1e-05,1.28e-05,0.00256,197.86764985911685
79,SVR_0.005_1e-05_1.28e-05_0.00512,0.005,1e-05,1.28e-05,0.00512,201.86765177362662
80,SVR_0.005_1e-05_2.56e-05_1e-05,0.005,1e-05,2.56e-05,1e-05,197.86764929002143
81,SVR_0.005_1e-05_2.56e-05_2e-05,0.005,1e-05,2.56e-05,2e-05,197.86764929002143
82,SVR_0.005_1e-05_2.56e-05_4e-05,0.005,1e-05,2.56e-05,4e-05,197.86764929002143
83,SVR_0.005_1e-05_2.56e-05_8e-05,0.005,1e-05,2.56e-05,8e-05,197.86764929002143
84,SVR_0.005_1e-05_2.56e-05_0.00016,0.005,1e-05,2.56e-05,0.00016,197.86764929002143
85,SVR_0.005_1e-05_2.56e-05_0.00032,0.005,1e-05,2.56e-05,0.00032,197.86764929002143
86,SVR_0.005_1e-05_2.56e-05_0.00064,0.005,1e-05,2.56e-05,0.00064,197.86764933961211
87,SVR_0.005_1e-05_2.56e-05_0.00128,0.005,1e-05,2.56e-05,0.00128,197.86764953235755
88,SVR_0.005_1e-05_2.56e-05_0.00256,0.005,1e-05,2.56e-05,0.00256,197.86765032446587
89,SVR_0.005_1e-05_2.56e-05_0.00512,0.005,1e-05,2.56e-05,0.00512,201.86765177362662
90,SVR_0.005_1e-05_5.12e-05_1e-05,0.005,1e-05,5.12e-05,1e-05,197.86764929002143
91,SVR_0.005_1e-05_5.12e-05_2e-05,0.005,1e-05,5.12e-05,2e-05,197.86764929002143
92,SVR_0.005_1e-05_5.12e-05_4e-05,0.005,1e-05,5.12e-05,4e-05,197.86764929002143
93,SVR_0.005_1e-05_5.12e-05_8e-05,0.005,1e-05,5.12e-05,8e-05,197.86764929002143
94,SVR_0.005_1e-05_5.12e-05_0.00016,0.005,1e-05,5.12e-05,0.00016,197.86764929002143
95,SVR_0.005_1e-05_5.12e-05_0.00032,0.005,1e-05,5.12e-05,0.00032,197.86764929002143
96,SVR_0.005_1e-05_5.12e-05_0.00064,0.005,1e-05,5.12e-05,0.00064,197.86764933961211
97,SVR_0.005_1e-05_5.12e-05_0.00128,0.005,1e-05,5.12e-05,0.00128,197.86764953235755
