,mae_name,C,gamma,tol,eps,mae
0,SVR_0.0005_1e-05_1e-07_1e-05,0.0005,1e-05,1e-07,1e-05,9544311.612733265
1,SVR_0.0005_1e-05_1e-07_0.0001,0.0005,1e-05,1e-07,0.0001,9544311.612733265
2,SVR_0.0005_1e-05_1e-07_0.001,0.0005,1e-05,1e-07,0.001,9544311.612733265
3,SVR_0.0005_1e-05_1e-07_0.01,0.0005,1e-05,1e-07,0.01,9544311.612733265
4,SVR_0.0005_1e-05_1e-07_0.1,0.0005,1e-05,1e-07,0.1,9544311.612733265
5,SVR_0.0005_1e-05_1e-07_1.0,0.0005,1e-05,1e-07,1.0,9544311.612733265
6,SVR_0.0005_1e-05_1e-07_10.0,0.0005,1e-05,1e-07,10.0,9544311.612733265
7,SVR_0.0005_1e-05_1e-07_100.0,0.0005,1e-05,1e-07,100.0,9544311.612733291
8,SVR_0.0005_1e-05_1e-06_1e-05,0.0005,1e-05,1e-06,1e-05,9544311.612733265
9,SVR_0.0005_1e-05_1e-06_0.0001,0.0005,1e-05,1e-06,0.0001,9544311.612733265
10,SVR_0.0005_1e-05_1e-06_0.001,0.0005,1e-05,1e-06,0.001,9544311.612733265
11,SVR_0.0005_1e-05_1e-06_0.01,0.0005,1e-05,1e-06,0.01,9544311.612733265
12,SVR_0.0005_1e-05_1e-06_0.1,0.0005,1e-05,1e-06,0.1,9544311.612733265
13,SVR_0.0005_1e-05_1e-06_1.0,0.0005,1e-05,1e-06,1.0,9544311.612733265
14,SVR_0.0005_1e-05_1e-06_10.0,0.0005,1e-05,1e-06,10.0,9544311.612733265
15,SVR_0.0005_1e-05_1e-06_100.0,0.0005,1e-05,1e-06,100.0,9544311.612733291
16,SVR_0.0005_1e-05_9.999999999999999e-06_1e-05,0.0005,1e-05,9.999999999999999e-06,1e-05,9544311.612733265
17,SVR_0.0005_1e-05_9.999999999999999e-06_0.0001,0.0005,1e-05,9.999999999999999e-06,0.0001,9544311.612733265
18,SVR_0.0005_1e-05_9.999999999999999e-06_0.001,0.0005,1e-05,9.999999999999999e-06,0.001,9544311.612733265
19,SVR_0.0005_1e-05_9.999999999999999e-06_0.01,0.0005,1e-05,9.999999999999999e-06,0.01,9544311.612733265
20,SVR_0.0005_1e-05_9.999999999999999e-06_0.1,0.0005,1e-05,9.999999999999999e-06,0.1,9544311.612733265
21,SVR_0.0005_1e-05_9.999999999999999e-06_1.0,0.0005,1e-05,9.999999999999999e-06,1.0,9544311.612733265
22,SVR_0.0005_1e-05_9.999999999999999e-06_10.0,0.0005,1e-05,9.999999999999999e-06,10.0,9544311.612733265
23,SVR_0.0005_1e-05_9.999999999999999e-06_100.0,0.0005,1e-05,9.999999999999999e-06,100.0,9544311.612733291
24,SVR_0.0005_1e-05_9.999999999999999e-05_1e-05,0.0005,1e-05,9.999999999999999e-05,1e-05,9544311.612733265
25,SVR_0.0005_1e-05_9.999999999999999e-05_0.0001,0.0005,1e-05,9.999999999999999e-05,0.0001,9544311.612733265
26,SVR_0.0005_1e-05_9.999999999999999e-05_0.001,0.0005,1e-05,9.999999999999999e-05,0.001,9544311.612733265
27,SVR_0.0005_1e-05_9.999999999999999e-05_0.01,0.0005,1e-05,9.999999999999999e-05,0.01,9544311.612733265
28,SVR_0.0005_1e-05_9.999999999999999e-05_0.1,0.0005,1e-05,9.999999999999999e-05,0.1,9544311.612733265
29,SVR_0.0005_1e-05_9.999999999999999e-05_1.0,0.0005,1e-05,9.999999999999999e-05,1.0,9544311.612733265
30,SVR_0.0005_1e-05_9.999999999999999e-05_10.0,0.0005,1e-05,9.999999999999999e-05,10.0,9544311.612733265
31,SVR_0.0005_1e-05_9.999999999999999e-05_100.0,0.0005,1e-05,9.999999999999999e-05,100.0,9544311.612733291
32,SVR_0.0005_1e-05_0.001_1e-05,0.0005,1e-05,0.001,1e-05,9544311.612733265
33,SVR_0.0005_1e-05_0.001_0.0001,0.0005,1e-05,0.001,0.0001,9544311.612733265
34,SVR_0.0005_1e-05_0.001_0.001,0.0005,1e-05,0.001,0.001,9544311.612733265
35,SVR_0.0005_1e-05_0.001_0.01,0.0005,1e-05,0.001,0.01,9544311.612733265
36,SVR_0.0005_1e-05_0.001_0.1,0.0005,1e-05,0.001,0.1,9544311.612733265
37,SVR_0.0005_1e-05_0.001_1.0,0.0005,1e-05,0.001,1.0,9544311.612733265
38,SVR_0.0005_1e-05_0.001_10.0,0.0005,1e-05,0.001,10.0,9544311.612733265
39,SVR_0.0005_1e-05_0.001_100.0,0.0005,1e-05,0.001,100.0,9544311.612733291
40,SVR_0.0005_1e-05_0.01_1e-05,0.0005,1e-05,0.01,1e-05,9544311.612733265
41,SVR_0.0005_1e-05_0.01_0.0001,0.0005,1e-05,0.01,0.0001,9544311.612733265
42,SVR_0.0005_1e-05_0.01_0.001,0.0005,1e-05,0.01,0.001,9544311.612733265
43,SVR_0.0005_1e-05_0.01_0.01,0.0005,1e-05,0.01,0.01,9544311.612733265
44,SVR_0.0005_1e-05_0.01_0.1,0.0005,1e-05,0.01,0.1,9544311.612733265
45,SVR_0.0005_1e-05_0.01_1.0,0.0005,1e-05,0.01,1.0,9544311.612733265
46,SVR_0.0005_1e-05_0.01_10.0,0.0005,1e-05,0.01,10.0,9544311.612733265
47,SVR_0.0005_1e-05_0.01_100.0,0.0005,1e-05,0.01,100.0,9544311.612733291
48,SVR_0.0005_1e-05_0.1_1e-05,0.0005,1e-05,0.1,1e-05,9544311.612733265
49,SVR_0.0005_1e-05_0.1_0.0001,0.0005,1e-05,0.1,0.0001,9544311.612733265
50,SVR_0.0005_1e-05_0.1_0.001,0.0005,1e-05,0.1,0.001,9544311.612733265
51,SVR_0.0005_1e-05_0.1_0.01,0.0005,1e-05,0.1,0.01,9544311.612733265
52,SVR_0.0005_1e-05_0.1_0.1,0.0005,1e-05,0.1,0.1,9544311.612733265
53,SVR_0.0005_1e-05_0.1_1.0,0.0005,1e-05,0.1,1.0,9544311.612733265
54,SVR_0.0005_1e-05_0.1_10.0,0.0005,1e-05,0.1,10.0,9544311.612733265
55,SVR_0.0005_1e-05_0.1_100.0,0.0005,1e-05,0.1,100.0,9544311.612733291
56,SVR_0.0005_1e-05_1.0_1e-05,0.0005,1e-05,1.0,1e-05,9544311.612733265
57,SVR_0.0005_1e-05_1.0_0.0001,0.0005,1e-05,1.0,0.0001,9544311.612733265
58,SVR_0.0005_1e-05_1.0_0.001,0.0005,1e-05,1.0,0.001,9544311.612733265
59,SVR_0.0005_1e-05_1.0_0.01,0.0005,1e-05,1.0,0.01,9544311.612733265
60,SVR_0.0005_1e-05_1.0_0.1,0.0005,1e-05,1.0,0.1,9544311.612733265
61,SVR_0.0005_1e-05_1.0_1.0,0.0005,1e-05,1.0,1.0,9544311.612733265
62,SVR_0.0005_1e-05_1.0_10.0,0.0005,1e-05,1.0,10.0,9544311.612733265
63,SVR_0.0005_1e-05_1.0_100.0,0.0005,1e-05,1.0,100.0,9544311.612733291
64,SVR_0.0005_1e-05_10.0_1e-05,0.0005,1e-05,10.0,1e-05,9544311.612733265
65,SVR_0.0005_1e-05_10.0_0.0001,0.0005,1e-05,10.0,0.0001,9544311.612733265
