,mae_name,C,gamma,tol,eps,mae
717,SVR_500.0_1e-05_0.001_0.0001,500,0.00001,0.00100,0.00010,0.0000532752374174272
577,SVR_50.0_1e-05_0.001_0.0001,50,0.00001,0.00100,0.00010,0.0000532752377172762
297,SVR_0.5_1e-05_0.001_0.0001,0.5,0.00001,0.00100,0.00010,0.0000532752377498724
437,SVR_5.0_1e-05_0.001_0.0001,5,0.00001,0.00100,0.00010,0.0000532752377501388
157,SVR_0.05_1e-05_0.001_0.0001,0.05,0.00001,0.00100,0.00010,0.0000532752377516487
436,SVR_5.0_1e-05_0.001_1e-05,5,0.00001,0.00100,0.00001,0.0001322149926722190
576,SVR_50.0_1e-05_0.001_1e-05,50,0.00001,0.00100,0.00001,0.0001322149928638880
716,SVR_500.0_1e-05_0.001_1e-05,500,0.00001,0.00100,0.00001,0.0001322149940078620
152,SVR_0.05_1e-05_9.999999999999999e-05_1e-05,0.05,0.00001,0.00010,0.00001,0.0001400633375300940
433,SVR_5.0_1e-05_9.999999999999999e-05_0.0001,5,0.00001,0.00010,0.00010,0.0001454555891652550
320,SVR_0.5_0.0001_9.999999999999999e-05_1e-05,0.5,0.00001,0.00010,0.00001,0.0001467234876303180
589,SVR_50.0_0.0001_1e-07_0.0001,50,0.00001,0.00000,0.00010,0.0001473843741929040
449,SVR_5.0_0.0001_1e-07_0.0001,5,0.00001,0.00000,0.00010,0.0001473843742665790
729,SVR_500.0_0.0001_1e-07_0.0001,500,0.00001,0.00000,0.00010,0.0001473843744234750
593,SVR_50.0_0.0001_1e-06_0.0001,50,0.00001,0.00000,0.00010,0.0001475513422877210
453,SVR_5.0_0.0001_1e-06_0.0001,5,0.00001,0.00000,0.00010,0.0001475513423123680
733,SVR_500.0_0.0001_1e-06_0.0001,500,0.00001,0.00000,0.00010,0.0001475513428764060
737,SVR_500.0_0.0001_9.999999999999999e-06_0.0001,500,0.00001,0.00001,0.00010,0.0001496229111408450
597,SVR_50.0_0.0001_9.999999999999999e-06_0.0001,50,0.00001,0.00001,0.00010,0.0001496229111490160
457,SVR_5.0_0.0001_9.999999999999999e-06_0.0001,5,0.00001,0.00001,0.00010,0.0001496229112319280
