,mae_name,C,gamma,tol,eps,mae
0,SVR_0.005_1e-05_1e-07_1e-05,0.005,1e-05,1e-07,1e-05,0.00036484969016492563
1,SVR_0.005_1e-05_1e-07_0.0001,0.005,1e-05,1e-07,0.0001,0.0003709113632621719
2,SVR_0.005_1e-05_1e-07_0.001,0.005,1e-05,1e-07,0.001,0.0006567689298282442
3,SVR_0.005_1e-05_1e-07_0.01,0.005,1e-05,1e-07,0.01,0.0029924869646532405
4,SVR_0.005_1e-05_1e-06_1e-05,0.005,1e-05,1e-06,1e-05,0.0003644558529693587
5,SVR_0.005_1e-05_1e-06_0.0001,0.005,1e-05,1e-06,0.0001,0.00037104385439361564
6,SVR_0.005_1e-05_1e-06_0.001,0.005,1e-05,1e-06,0.001,0.000656725771514255
7,SVR_0.005_1e-05_1e-06_0.01,0.005,1e-05,1e-06,0.01,0.0029924869646532405
8,SVR_0.005_1e-05_9.999999999999999e-06_1e-05,0.005,1e-05,9.999999999999999e-06,1e-05,0.0003618036252968082
9,SVR_0.005_1e-05_9.999999999999999e-06_0.0001,0.005,1e-05,9.999999999999999e-06,0.0001,0.00037040935196106515
10,SVR_0.005_1e-05_9.999999999999999e-06_0.001,0.005,1e-05,9.999999999999999e-06,0.001,0.0006593946355189839
11,SVR_0.005_1e-05_9.999999999999999e-06_0.01,0.005,1e-05,9.999999999999999e-06,0.01,0.0029924869646532405
12,SVR_0.005_1e-05_9.999999999999999e-05_1e-05,0.005,1e-05,9.999999999999999e-05,1e-05,0.0003793831562493466
13,SVR_0.005_1e-05_9.999999999999999e-05_0.0001,0.005,1e-05,9.999999999999999e-05,0.0001,0.0003823549322365949
14,SVR_0.005_1e-05_9.999999999999999e-05_0.001,0.005,1e-05,9.999999999999999e-05,0.001,0.0006338543027655241
15,SVR_0.005_1e-05_9.999999999999999e-05_0.01,0.005,1e-05,9.999999999999999e-05,0.01,0.0029924869646532405
16,SVR_0.005_1e-05_0.001_1e-05,0.005,1e-05,0.001,1e-05,0.00038690081914181105
17,SVR_0.005_1e-05_0.001_0.0001,0.005,1e-05,0.001,0.0001,0.0003866122631209112
18,SVR_0.005_1e-05_0.001_0.001,0.005,1e-05,0.001,0.001,0.0003747162851955199
19,SVR_0.005_1e-05_0.001_0.01,0.005,1e-05,0.001,0.01,0.0029924869646532405
20,SVR_0.005_1e-05_0.01_1e-05,0.005,1e-05,0.01,1e-05,0.0009418000194354459
21,SVR_0.005_1e-05_0.01_0.0001,0.005,1e-05,0.01,0.0001,0.0009418000194354459
22,SVR_0.005_1e-05_0.01_0.001,0.005,1e-05,0.01,0.001,0.0009418000194354459
23,SVR_0.005_1e-05_0.01_0.01,0.005,1e-05,0.01,0.01,0.0029924869646532405
24,SVR_0.005_1e-05_0.1_1e-05,0.005,1e-05,0.1,1e-05,0.0029924869646532405
25,SVR_0.005_1e-05_0.1_0.0001,0.005,1e-05,0.1,0.0001,0.0029924869646532405
26,SVR_0.005_1e-05_0.1_0.001,0.005,1e-05,0.1,0.001,0.0029924869646532405
27,SVR_0.005_1e-05_0.1_0.01,0.005,1e-05,0.1,0.01,0.0029924869646532405
28,SVR_0.005_0.0001_1e-07_1e-05,0.005,0.0001,1e-07,1e-05,0.00028127014510310745
29,SVR_0.005_0.0001_1e-07_0.0001,0.005,0.0001,1e-07,0.0001,0.00026797382258703095
30,SVR_0.005_0.0001_1e-07_0.001,0.005,0.0001,1e-07,0.001,0.0005468279026795919
31,SVR_0.005_0.0001_1e-07_0.01,0.005,0.0001,1e-07,0.01,0.0029924869646532405
32,SVR_0.005_0.0001_1e-06_1e-05,0.005,0.0001,1e-06,1e-05,0.00028153153319285804
33,SVR_0.005_0.0001_1e-06_0.0001,0.005,0.0001,1e-06,0.0001,0.00026776136656456726
34,SVR_0.005_0.0001_1e-06_0.001,0.005,0.0001,1e-06,0.001,0.0005467664820741014
35,SVR_0.005_0.0001_1e-06_0.01,0.005,0.0001,1e-06,0.01,0.0029924869646532405
36,SVR_0.005_0.0001_9.999999999999999e-06_1e-05,0.005,0.0001,9.999999999999999e-06,1e-05,0.0002820928905427511
37,SVR_0.005_0.0001_9.999999999999999e-06_0.0001,0.005,0.0001,9.999999999999999e-06,0.0001,0.00026625665657968866
38,SVR_0.005_0.0001_9.999999999999999e-06_0.001,0.005,0.0001,9.999999999999999e-06,0.001,0.0005463947685727
39,SVR_0.005_0.0001_9.999999999999999e-06_0.01,0.005,0.0001,9.999999999999999e-06,0.01,0.0029924869646532405
40,SVR_0.005_0.0001_9.999999999999999e-05_1e-05,0.005,0.0001,9.999999999999999e-05,1e-05,0.00027705043214178995
41,SVR_0.005_0.0001_9.999999999999999e-05_0.0001,0.005,0.0001,9.999999999999999e-05,0.0001,0.0002552147990170006
42,SVR_0.005_0.0001_9.999999999999999e-05_0.001,0.005,0.0001,9.999999999999999e-05,0.001,0.0005254697052910374
43,SVR_0.005_0.0001_9.999999999999999e-05_0.01,0.005,0.0001,9.999999999999999e-05,0.01,0.0029924869646532405
44,SVR_0.005_0.0001_0.001_1e-05,0.005,0.0001,0.001,1e-05,0.00033445034644095093
45,SVR_0.005_0.0001_0.001_0.0001,0.005,0.0001,0.001,0.0001,0.00032895011677234185
46,SVR_0.005_0.0001_0.001_0.001,0.005,0.0001,0.001,0.001,0.0003212400836841045
47,SVR_0.005_0.0001_0.001_0.01,0.005,0.0001,0.001,0.01,0.0029924869646532405
48,SVR_0.005_0.0001_0.01_1e-05,0.005,0.0001,0.01,1e-05,0.0010195063239642366
49,SVR_0.005_0.0001_0.01_0.0001,0.005,0.0001,0.01,0.0001,0.0010195063239642366
50,SVR_0.005_0.0001_0.01_0.001,0.005,0.0001,0.01,0.001,0.0010398684348287724
51,SVR_0.005_0.0001_0.01_0.01,0.005,0.0001,0.01,0.01,0.0029924869646532405
52,SVR_0.005_0.0001_0.1_1e-05,0.005,0.0001,0.1,1e-05,0.0029924869646532405
53,SVR_0.005_0.0001_0.1_0.0001,0.005,0.0001,0.1,0.0001,0.0029924869646532405
54,SVR_0.005_0.0001_0.1_0.001,0.005,0.0001,0.1,0.001,0.0029924869646532405
55,SVR_0.005_0.0001_0.1_0.01,0.005,0.0001,0.1,0.01,0.0029924869646532405
56,SVR_0.005_0.001_1e-07_1e-05,0.005,0.001,1e-07,1e-05,0.00017596375973494283
57,SVR_0.005_0.001_1e-07_0.0001,0.005,0.001,1e-07,0.0001,0.00024475934431555935
58,SVR_0.005_0.001_1e-07_0.001,0.005,0.001,1e-07,0.001,0.0004518789135700807
59,SVR_0.005_0.001_1e-07_0.01,0.005,0.001,1e-07,0.01,0.0029924869646532405
60,SVR_0.005_0.001_1e-06_1e-05,0.005,0.001,1e-06,1e-05,0.00017586298670368983
61,SVR_0.005_0.001_1e-06_0.0001,0.005,0.001,1e-06,0.0001,0.00024468902729992694
62,SVR_0.005_0.001_1e-06_0.001,0.005,0.001,1e-06,0.001,0.0004518654891776386
63,SVR_0.005_0.001_1e-06_0.01,0.005,0.001,1e-06,0.01,0.0029924869646532405
64,SVR_0.005_0.001_9.999999999999999e-06_1e-05,0.005,0.001,9.999999999999999e-06,1e-05,0.00017439057267427672
65,SVR_0.005_0.001_9.999999999999999e-06_0.0001,0.005,0.001,9.999999999999999e-06,0.0001,0.0002444792742040125
66,SVR_0.005_0.001_9.999999999999999e-06_0.001,0.005,0.001,9.999999999999999e-06,0.001,0.00045130320000388304
67,SVR_0.005_0.001_9.999999999999999e-06_0.01,0.005,0.001,9.999999999999999e-06,0.01,0.0029924869646532405
68,SVR_0.005_0.001_9.999999999999999e-05_1e-05,0.005,0.001,9.999999999999999e-05,1e-05,0.0001596083532699133
69,SVR_0.005_0.001_9.999999999999999e-05_0.0001,0.005,0.001,9.999999999999999e-05,0.0001,0.00024196278696608786
70,SVR_0.005_0.001_9.999999999999999e-05_0.001,0.005,0.001,9.999999999999999e-05,0.001,0.00046892720157041266
71,SVR_0.005_0.001_9.999999999999999e-05_0.01,0.005,0.001,9.999999999999999e-05,0.01,0.0029924869646532405
72,SVR_0.005_0.001_0.001_1e-05,0.005,0.001,0.001,1e-05,0.00019729831706323254
73,SVR_0.005_0.001_0.001_0.0001,0.005,0.001,0.001,0.0001,0.0001942048260549889
74,SVR_0.005_0.001_0.001_0.001,0.005,0.001,0.001,0.001,0.0004983945894080133
75,SVR_0.005_0.001_0.001_0.01,0.005,0.001,0.001,0.01,0.0029924869646532405
76,SVR_0.005_0.001_0.01_1e-05,0.005,0.001,0.01,1e-05,0.0014072602454511696
77,SVR_0.005_0.001_0.01_0.0001,0.005,0.001,0.01,0.0001,0.0014072602454511696
78,SVR_0.005_0.001_0.01_0.001,0.005,0.001,0.01,0.001,0.001214622277920574
79,SVR_0.005_0.001_0.01_0.01,0.005,0.001,0.01,0.01,0.0029924869646532405
80,SVR_0.005_0.001_0.1_1e-05,0.005,0.001,0.1,1e-05,0.0029924869646532405
81,SVR_0.005_0.001_0.1_0.0001,0.005,0.001,0.1,0.0001,0.0029924869646532405
